codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
41661;41661;41661;INCIDENTE;CAMPINAS;SP;BRASIL;****;03/06/2010;13:00:00;0
41392;41392;41392;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;04/06/2010;11:42:00;0
41394;41394;41394;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;04/06/2010;01:05:00;0
41682;41682;41682;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;05/06/2010;19:12:00;0
41487;41487;41487;INCIDENTE;JOINVILLE;SC;BRASIL;SBJV;07/06/2010;12:50:00;0
41411;41411;41411;INCIDENTE GRAVE;SÃO PAULO;SP;BRASIL;SBMT;08/06/2010;19:30:00;2
41480;41480;41480;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;BRASIL;SBCT;08/06/2010;23:07:00;1
41579;41579;41579;INCIDENTE;SANTA ROSA DO PURUS;AC;BRASIL;****;09/06/2010;13:55:00;0
45940;45940;45940;ACIDENTE;ALTO ALEGRE;RR;BRASIL;****;09/06/2010;15:00:00;0
41591;41591;41591;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;10/06/2010;17:30:00;0
41592;41592;41592;INCIDENTE;FORTALEZA;CE;BRASIL;****;10/06/2010;03:00:00;0
41676;41676;41676;INCIDENTE;BRASÍLIA;DF;BRASIL;****;10/06/2010;17:27:00;0
42010;42010;42010;INCIDENTE;MACAÉ;RJ;BRASIL;****;10/06/2010;11:52:00;0
41569;41569;41569;ACIDENTE;SÃO FÉLIX DO XINGU;PA;BRASIL;SNFX;12/06/2010;23:30:00;0
41488;41488;41488;ACIDENTE;AQUIRAZ;CE;BRASIL;****;13/06/2010;12:50:00;0
41553;41553;41553;INCIDENTE;CONFINS;MG;BRASIL;SBCF;13/06/2010;10:03:00;0
41595;41595;41595;INCIDENTE;PETROLINA;PE;BRASIL;SBPL;13/06/2010;15:00:00;0
41908;41908;41908;INCIDENTE;CAMPINAS;SP;BRASIL;SBKP;13/06/2010;12:45:00;0
41552;41552;41552;ACIDENTE;NOVA MAMORÉ;RO;BRASIL;****;14/06/2010;14:25:00;9
41551;41551;41551;INCIDENTE;MANAUS;AM;BRASIL;SBEG;15/06/2010;15:20:00;0
41578;41578;41578;INCIDENTE GRAVE;NOVA XAVANTINA;MT;BRASIL;SWXV;15/06/2010;20:45:00;1
41589;41589;41589;INCIDENTE;SÃO PAULO;SP;BRASIL;****;15/06/2010;00:38:00;0
42013;42013;42013;INCIDENTE;MACAÉ;RJ;BRASIL;****;16/06/2010;13:45:00;0
41571;41571;41571;INCIDENTE;SÃO PAULO;SP;BRASIL;****;17/06/2010;22:30:00;0
41854;41854;41854;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;17/06/2010;09:31:00;0
41915;41915;41915;INCIDENTE;SALVADOR;BA;BRASIL;****;18/06/2010;09:37:00;0
41678;41678;41678;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;19/06/2010;19:05:00;0
